x1	y1	x2	y2
413.930000	6.731090	501.736000	206.154000
303.018000	15.594400	299.509000	23.849400
303.018000	15.594400	299.509000	23.849400
295.081000	40.260000	263.387000	100.080000
124.735000	45.288000	542.391000	337.900000
295.547000	46.597000	291.512000	51.302400
302.198000	53.351800	297.728000	57.103900
293.725000	58.460500	353.711000	149.985000
313.992000	58.760400	324.542000	94.820000
313.992000	58.760400	333.360000	113.299000
399.059000	58.876400	81.274500	360.042000
399.059000	58.876400	385.378000	162.754000
319.871000	69.856600	253.910000	387.132000
172.587000	82.766300	181.642000	94.932100
302.552000	82.519900	295.985000	86.921500
293.854000	84.380900	188.161000	130.974000
437.186000	84.392100	428.674000	71.543200
437.186000	84.392100	428.674000	71.543200
28.174500	91.002900	17.252900	163.335000
96.576800	95.705900	167.678000	132.544000
301.980000	105.013000	294.659000	102.972000
301.980000	105.013000	294.659000	102.972000
443.773000	109.501000	432.850000	94.894800
263.003000	112.333000	340.807000	105.565000
310.479000	114.979000	300.374000	111.274000
424.482000	116.799000	413.486000	103.068000
430.229000	115.872000	419.953000	101.997000
256.121000	119.077000	292.921000	44.673700
183.361000	119.777000	446.446000	100.761000
259.800000	119.686000	316.197000	77.905600
39.660600	122.654000	365.820000	204.484000
443.363000	132.394000	431.475000	115.439000
443.363000	132.394000	431.475000	115.439000
125.608000	139.933000	210.308000	322.557000
157.306000	140.466000	170.169000	141.457000
301.826000	140.380000	293.518000	132.822000
357.435000	141.709000	345.574000	129.636000
357.435000	141.709000	345.574000	129.636000
431.534000	143.386000	406.000000	160.142000
231.461000	145.637000	289.919000	411.088000
162.682000	146.409000	396.667000	194.293000
162.682000	146.409000	499.205000	339.291000
288.194000	147.140000	364.721000	107.728000
138.291000	149.262000	513.032000	401.547000
302.069000	148.788000	529.831000	417.745000
260.135000	150.666000	285.309000	88.248300
281.369000	151.999000	239.780000	200.798000
356.167000	152.514000	327.194000	104.049000
419.056000	152.279000	405.674000	135.485000
447.713000	153.956000	436.000000	134.126000
473.889000	153.546000	463.412000	132.508000
156.011000	155.209000	406.539000	202.319000
175.793000	155.741000	462.683000	201.102000
241.847000	156.756000	280.512000	76.733100
191.802000	159.756000	481.268000	174.437000
326.208000	162.859000	62.061100	228.729000
45.560400	164.674000	165.462000	342.883000
264.066000	166.460000	257.767000	156.746000
375.738000	166.946000	13.933400	202.753000
84.255500	168.724000	157.936000	150.343000
160.832000	171.725000	398.476000	188.993000
122.310000	173.396000	191.897000	179.130000
113.043000	173.887000	421.010000	158.900000
316.381000	174.713000	530.563000	415.540000
316.381000	174.713000	530.563000	415.540000
159.100000	177.867000	282.258000	208.196000
182.990000	177.143000	424.369000	163.310000
219.413000	181.056000	528.064000	418.064000
133.759000	183.303000	201.773000	280.976000
260.546000	184.486000	269.029000	149.235000
146.921000	186.332000	188.906000	205.080000
153.028000	186.209000	452.255000	171.358000
153.028000	186.209000	452.255000	171.358000
159.068000	186.443000	173.433000	153.123000
159.068000	186.443000	459.092000	171.749000
183.384000	187.048000	526.836000	208.842000
371.066000	188.472000	496.955000	296.364000
105.462000	190.135000	15.476400	230.491000
327.133000	189.785000	275.479000	242.594000
487.078000	190.962000	457.322000	132.308000
493.194000	190.921000	463.412000	132.508000
121.645000	191.638000	463.101000	215.731000
203.472000	191.726000	479.688000	173.824000
52.822200	193.383000	229.155000	338.358000
316.114000	193.069000	278.733000	177.316000
340.081000	194.874000	125.089000	432.215000
526.359000	194.979000	425.379000	411.655000
333.766000	195.247000	224.424000	370.275000
429.838000	196.054000	399.304000	202.969000
73.361400	196.469000	155.404000	217.723000
444.134000	196.380000	411.614000	139.867000
451.573000	196.447000	453.275000	201.388000
466.529000	196.556000	453.539000	201.694000
482.704000	196.956000	452.638000	137.289000
328.676000	201.792000	315.809000	182.011000
151.107000	202.880000	197.352000	192.916000
157.265000	203.151000	171.460000	167.570000
244.616000	203.240000	359.303000	163.679000
200.060000	204.294000	460.818000	156.367000
191.657000	205.125000	406.511000	188.434000
221.721000	206.922000	309.806000	354.466000
280.995000	206.855000	270.341000	190.686000
92.010900	208.718000	525.133000	208.789000
123.382000	208.585000	408.575000	103.627000
324.729000	208.425000	78.592400	215.292000
565.479000	209.598000	57.940700	432.684000
191.805000	211.757000	406.726000	165.111000
191.805000	211.757000	437.507000	163.562000
245.460000	211.545000	241.407000	195.415000
196.419000	212.213000	411.360000	165.061000
430.596000	212.999000	16.675100	307.936000
520.228000	212.018000	290.551000	411.067000
467.645000	213.951000	90.057300	261.326000
65.691900	217.650000	22.028900	168.660000
154.898000	219.935000	444.381000	172.591000
469.197000	219.999000	453.840000	191.819000
424.295000	220.985000	437.507000	163.562000
475.892000	220.638000	459.601000	192.097000
485.017000	220.811000	452.915000	162.656000
485.017000	220.811000	452.915000	162.656000
181.292000	221.521000	427.190000	173.103000
288.526000	224.640000	384.225000	83.079500
219.248000	227.814000	201.247000	302.351000
301.472000	228.256000	523.615000	370.195000
301.472000	228.256000	524.884000	369.760000
417.133000	229.669000	398.503000	203.817000
363.549000	229.881000	125.767000	238.447000
408.942000	230.267000	391.610000	204.415000
431.777000	230.067000	413.213000	173.758000
479.052000	229.988000	462.683000	201.102000
484.645000	229.894000	470.127000	201.089000
93.987900	231.427000	110.051000	353.260000
102.947000	231.753000	109.504000	352.636000
560.377000	233.866000	230.258000	361.281000
560.377000	233.866000	230.258000	361.281000
586.462000	236.169000	579.695000	209.018000
371.924000	239.738000	54.449000	324.223000
412.510000	240.731000	375.601000	290.963000
450.834000	240.809000	38.569500	433.112000
250.682000	243.880000	53.697600	325.272000
29.884400	248.790000	98.383200	182.938000
415.369000	247.991000	73.709100	227.784000
268.330000	249.417000	148.146000	155.794000
302.672000	250.149000	192.546000	140.444000
309.453000	249.312000	302.996000	218.552000
255.673000	250.767000	561.349000	291.002000
255.673000	250.767000	561.349000	291.002000
536.268000	250.670000	576.178000	208.191000
14.574500	252.063000	355.791000	438.362000
441.641000	252.312000	422.518000	223.378000
441.641000	252.312000	422.518000	223.378000
410.575000	257.613000	285.710000	285.844000
450.345000	259.414000	183.911000	360.822000
450.345000	259.414000	430.341000	229.076000
520.811000	260.889000	280.482000	220.365000
13.885600	262.391000	355.791000	438.362000
444.229000	263.984000	423.992000	232.832000
131.956000	264.986000	142.984000	242.404000
34.764800	266.436000	253.342000	392.191000
588.707000	266.526000	580.103000	236.327000
97.452900	267.204000	538.346000	273.970000
115.983000	267.516000	190.444000	170.592000
428.036000	267.065000	407.315000	235.605000
428.036000	267.065000	453.846000	235.324000
473.227000	267.202000	453.846000	235.324000
473.227000	267.202000	453.846000	235.324000
290.176000	271.106000	155.662000	217.418000
374.536000	270.805000	315.472000	397.598000
193.105000	272.756000	155.566000	356.158000
231.838000	273.454000	333.815000	244.688000
300.647000	274.070000	91.770400	419.060000
238.456000	276.238000	293.420000	213.782000
114.870000	278.054000	93.582800	270.739000
338.517000	280.531000	479.836000	231.086000
551.701000	280.890000	178.977000	141.785000
494.248000	285.969000	323.701000	175.927000
588.759000	286.183000	525.726000	253.314000
470.036000	290.356000	488.987000	196.726000
7.680810	291.011000	406.000000	160.142000
284.879000	291.393000	544.680000	175.292000
184.336000	294.822000	468.445000	358.331000
582.814000	296.814000	518.024000	262.701000
